BSIt-12,BSIt-11,BSIt-10,BSIt-9,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1
,,,,,,,,,,,
,,,,,,,,,,,8.693957115
,,,,,,,,,,8.693957115,5.828460039
,,,,,,,,,8.693957115,5.828460039,8.518518519
,,,,,,,,8.693957115,5.828460039,8.518518519,8.050682261
,,,,,,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
,,,,,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
,,,,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
,,,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
,,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
,,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097
5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871
8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825
8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115
9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039
9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519
8.771929825,8.693957115,5.828460039,8.518518519,8.050682261,9.571150097,9.766081871,8.771929825,8.693957115,5.828460039,8.518518519,8.050682261
