SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24
22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667
20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667
18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667
18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27
20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44
20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57
20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48
22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44
18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44
17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44
16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86
18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85
18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9
18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79
22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79,22.85
21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79,22.85,22.85
20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79,22.85,22.85,22.85
21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79,22.85,22.85,22.85,21.52
21.44,21.44,21.44,21.86,22.85,21.9,24.79,22.85,22.85,22.85,21.52,22.28667
21.44,21.44,21.86,22.85,21.9,24.79,22.85,22.85,22.85,21.52,22.28667,21.42
21.44,21.86,22.85,21.9,24.79,22.85,22.85,22.85,21.52,22.28667,21.42,23.92
21.86,22.85,21.9,24.79,22.85,22.85,22.85,21.52,22.28667,21.42,23.92,22.28667
22.85,21.9,24.79,22.85,22.85,22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667
21.9,24.79,22.85,22.85,22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667
24.79,22.85,22.85,22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99
22.85,22.85,22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333
22.85,22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86
22.85,21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0
21.52,22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333
22.28667,21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333
21.42,23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333
23.92,22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62
22.28667,22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333
22.28667,22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06
22.28667,21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62
21.99,22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333
22.28333,19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333
19.86,25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333
25.0,22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77
22.28333,22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667
22.28333,22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3
22.28333,21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53
21.62,23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667
23.43333,26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667
26.06,22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667
22.62,23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95
23.43333,23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667
23.43333,23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32
23.43333,22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04
22.77,23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667
23.86667,25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667
25.3,23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667
23.53,23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89
23.86667,23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667
23.86667,23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07
23.86667,21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84
21.95,22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667
22.43667,24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667
24.32,21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667
21.04,22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65
22.43667,22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667
22.43667,22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07
22.43667,20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96
20.89,20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667
20.26667,18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667
18.07,21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667
21.84,20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31
20.26667,20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667
20.26667,20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7
20.26667,21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97
21.65,20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667
20.22667,19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667
19.07,19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667
19.96,20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43
20.22667,20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01
20.22667,20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99
20.22667,21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61
21.31,21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61,19.01
21.32667,20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61,19.01,19.01
20.7,21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61,19.01,19.01,19.01
21.97,21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61,19.01,19.01,19.01,20.39
21.32667,21.32667,21.32667,20.43,19.01,18.99,17.61,19.01,19.01,19.01,20.39,20.02333
21.32667,21.32667,20.43,19.01,18.99,17.61,19.01,19.01,19.01,20.39,20.02333,19.97
21.32667,20.43,19.01,18.99,17.61,19.01,19.01,19.01,20.39,20.02333,19.97,19.71
20.43,19.01,18.99,17.61,19.01,19.01,19.01,20.39,20.02333,19.97,19.71,20.02333
19.01,18.99,17.61,19.01,19.01,19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333
18.99,17.61,19.01,19.01,19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333
17.61,19.01,19.01,19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42
19.01,19.01,19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667
19.01,19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57
19.01,20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37
20.39,20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667
20.02333,19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667
19.97,19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667
19.71,20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28
20.02333,20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667
20.02333,20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92
20.02333,19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95
19.42,19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667
19.78667,20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667
20.57,19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667
19.37,19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81
19.78667,19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667
19.78667,19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23
19.78667,21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06
21.28,20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667
20.71667,19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667
19.92,20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667
20.95,20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5
20.71667,20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333
20.71667,20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25
20.71667,19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41
19.81,23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333
23.36667,25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333
25.23,25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333
25.06,23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86
23.36667,23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19
23.36667,23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92
23.36667,19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79
19.5,22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79,23.19
22.05333,22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79,23.19,23.19
22.25,24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79,23.19,23.19,23.19
24.41,22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79,23.19,23.19,23.19,21.27
22.05333,22.05333,22.05333,20.86,23.19,26.92,21.79,23.19,23.19,23.19,21.27,21.31
22.05333,22.05333,20.86,23.19,26.92,21.79,23.19,23.19,23.19,21.27,21.31,21.74
22.05333,20.86,23.19,26.92,21.79,23.19,23.19,23.19,21.27,21.31,21.74,20.92
20.86,23.19,26.92,21.79,23.19,23.19,23.19,21.27,21.31,21.74,20.92,21.31
23.19,26.92,21.79,23.19,23.19,23.19,21.27,21.31,21.74,20.92,21.31,21.31
26.92,21.79,23.19,23.19,23.19,21.27,21.31,21.74,20.92,21.31,21.31,21.31
21.79,23.19,23.19,23.19,21.27,21.31,21.74,20.92,21.31,21.31,21.31,20.85
23.19,23.19,23.19,21.27,21.31,21.74,20.92,21.31,21.31,21.31,20.85,21.52
23.19,23.19,21.27,21.31,21.74,20.92,21.31,21.31,21.31,20.85,21.52,23.06
23.19,21.27,21.31,21.74,20.92,21.31,21.31,21.31,20.85,21.52,23.06,20.65
21.27,21.31,21.74,20.92,21.31,21.31,21.31,20.85,21.52,23.06,20.65,21.52
21.31,21.74,20.92,21.31,21.31,21.31,20.85,21.52,23.06,20.65,21.52,21.52
21.74,20.92,21.31,21.31,21.31,20.85,21.52,23.06,20.65,21.52,21.52,21.52
20.92,21.31,21.31,21.31,20.85,21.52,23.06,20.65,21.52,21.52,21.52,20.77
21.31,21.31,21.31,20.85,21.52,23.06,20.65,21.52,21.52,21.52,20.77,20.75667
21.31,21.31,20.85,21.52,23.06,20.65,21.52,21.52,21.52,20.77,20.75667,24.14
21.31,20.85,21.52,23.06,20.65,21.52,21.52,21.52,20.77,20.75667,24.14,17.36
20.85,21.52,23.06,20.65,21.52,21.52,21.52,20.77,20.75667,24.14,17.36,20.75667
21.52,23.06,20.65,21.52,21.52,21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667
23.06,20.65,21.52,21.52,21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667
20.65,21.52,21.52,21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48
21.52,21.52,21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333
21.52,21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55
21.52,20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11
20.77,20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333
20.75667,24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333
24.14,17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333
17.36,20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23
20.75667,20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667
20.75667,20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47
20.75667,19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98
19.48,20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667
20.71333,21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667
21.55,21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667
21.11,20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78
20.71333,20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333
20.71333,20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9
20.71333,19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94
19.23,18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333
18.22667,18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333
18.47,16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333
16.98,18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28
18.22667,18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74
18.22667,18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76
18.22667,18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18
18.78,18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18,18.74
18.87333,18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18,18.74,18.74
18.9,18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18,18.74,18.74,18.74
18.94,18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18,18.74,18.74,18.74,18.06
18.87333,18.87333,18.87333,18.28,18.74,18.76,19.18,18.74,18.74,18.74,18.06,19.07667
18.87333,18.87333,18.28,18.74,18.76,19.18,18.74,18.74,18.74,18.06,19.07667,23.13
18.87333,18.28,18.74,18.76,19.18,18.74,18.74,18.74,18.06,19.07667,23.13,16.04
18.28,18.74,18.76,19.18,18.74,18.74,18.74,18.06,19.07667,23.13,16.04,19.07667
18.74,18.76,19.18,18.74,18.74,18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667
18.76,19.18,18.74,18.74,18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667
19.18,18.74,18.74,18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65
18.74,18.74,18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333
18.74,18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69
18.74,18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9
18.06,19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333
19.07667,23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333
23.13,16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333
16.04,19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25
19.07667,19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333
19.07667,19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12
19.07667,18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91
18.65,17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333
17.41333,14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333
14.69,18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333
18.9,17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9
17.41333,17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333
17.41333,17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08
17.41333,19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32
19.25,20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333
20.09333,21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333
21.12,19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333
19.91,20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14
20.09333,20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667
20.09333,20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92
20.09333,19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64
19.9,21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667
21.4333,22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667
22.08,22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667
22.32,21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33
21.4333,21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333
21.4333,21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71
21.4333,19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61
19.14,21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333
21.56667,23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333
23.92,21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333
21.64,21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26
21.56667,21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51
21.56667,21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09
21.56667,18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18
18.33,21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18,19.51
21.88333,22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18,19.51,19.51
22.71,24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18,19.51,19.51,19.51
24.61,21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18,19.51,19.51,19.51,18.82
21.88333,21.88333,21.88333,18.26,19.51,19.09,21.18,19.51,19.51,19.51,18.82,19.29667
21.88333,21.88333,18.26,19.51,19.09,21.18,19.51,19.51,19.51,18.82,19.29667,20.59
21.88333,18.26,19.51,19.09,21.18,19.51,19.51,19.51,18.82,19.29667,20.59,18.48
18.26,19.51,19.09,21.18,19.51,19.51,19.51,18.82,19.29667,20.59,18.48,19.29667
19.51,19.09,21.18,19.51,19.51,19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667
19.09,21.18,19.51,19.51,19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667
21.18,19.51,19.51,19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67
19.51,19.51,19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333
19.51,19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38
19.51,18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82
18.82,19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333
19.29667,20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333
20.59,18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333
18.48,19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28
19.29667,19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28,18.11333
19.29667,19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28,18.11333,18.89
19.29667,17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28,18.11333,18.89,17.17
17.67,17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28,18.11333,18.89,17.17,18.11333
17.62333,17.38,17.82,17.62333,17.62333,17.62333,18.28,18.11333,18.89,17.17,18.11333,18.11333
